produto_id,codigo_barras,descricao,preco,preco_promocional,preco_original,disponivel,em_oferta,unidade_sigla,imagem,sku,codigo_erp,classificacao_mercadologica_id
4599,7891095031115,Batata Palha Yoki 105g Tradici,12.49,,12.49,True,False,UN,ef616df4-5375-4109-b12c-5ea607bd8613.jpg,FF-011F7,129455,145
4593,7896002304191,Pao Hamburguer Plus Vita 520g,16.89,,16.89,True,False,UN,5928f571-caf8-4a20-802a-041a21517232.jpg,FF-011F1,129416,169
4590,7896056405332,Lava Roupa Liq. Urca 5l Azul,24.90,,24.90,False,False,UN,77a45ba6-881f-4a60-a945-1dfd162364a3.jpg,FF-011EE,129260,192
4596,8710522675908,Lava Louca Cif Maquina 1kg Po,89.90,,89.90,True,False,UN,d2179d5e-a56f-4536-92f8-347013dba30a.jpg,FF-011F4,129434,90
4600,78940833,Choc. Kinder Ovo 20g T1 Menino,13.49,,13.49,True,False,UN,0efea9d4-b6cb-4ddf-8f0b-dddbfda70bf8.jpg,FF-011F8,129456,55
4601,78940840,Choc. Kinder Ovo 20g T1 Menina,13.49,,13.49,True,False,UN,34793c24-561f-47b5-910b-fc853ce6dca8.jpg,FF-011F9,129457,55
4609,7891203057068,Bisc. Wafer Panco 112g Morango,3.99,,3.99,True,False,UN,6bb237ba-94f4-4022-98a7-924381afa818.jpg,FF-01201,129488,45
4608,7891203063564,Bisc. Rech. Panco 140g Mousse,2.99,,2.99,True,False,UN,bb71bcf8-4be4-43c4-87f4-f191a3dcd897.jpg,FF-01200,129487,187
4611,7891203058577,Bisc. Wafer Panco 112g Limao,3.99,,3.99,True,False,UN,58e0c141-b1ab-4181-ad82-100c3d8133c0.jpg,FF-01203,129490,223
4607,7891203063274,Bisc. Rech. Panco 140g Baunilh,2.99,,2.99,True,False,UN,aa0eeeb2-7db6-4fbc-9336-9a44b3c1fc36.jpg,FF-011FF,129486,187
4610,7891203057075,Bisc. Wafer Panco 112g Chocola,3.99,,3.99,True,False,UN,194c4cd1-e7b4-4a10-bd85-4eebc3f9e293.jpg,FF-01202,129489,223
4617,7898701300016,Batata Casa De Mae 2kg Pre-fri,29.90,,29.90,True,False,UN,689969e0-938f-4abe-8631-7f518fd70d95.jpg,FF-01209,129519,218
4615,7892020000572,Far. Trigo Tulipa 1kg Emb.plas,2.99,2.99,3.99,False,True,UN,a7085622-3c83-4ead-87b0-620a7ab3dfd3.jpg,FF-01207,129504,104
